ind	time	species	percent_of_full_microbiome	percent_within_assigned_family
Springbok_A	Day 6	Mogibacteriaceae	0.005994006	0.75
Springbok_A	Day 6	Planococcaceae	0.669149033	83.98
Springbok_A	Day 6	Prevotellaceae	0	0
Springbok_A	Day 6	Rikenellaceae	0.000181637	0.02
Springbok_A	Day 6	Ruminococcaceae	0.030424121	3.82
Springbok_A	Day 6	S24-7	0.001180638	0.15
Springbok_A	Day 6	Veillonellaceae	0.00054491	0.07
Springbok_A	Day 6	Verrucomicrobiaceae	0.00054491	0.07
Springbok_A	Day 7	Bacillaceae	0.023593919	3.17
Springbok_A	Day 7	Bacteroidaceae	0.001121542	0.15
Springbok_A	Day 7	Clostridiaceae	0.000540002	0.07
Springbok_A	Day 7	Coriobacteriaceae	0.002866163	0.39
Springbok_A	Day 7	Enterobacteriaceae	0.014455429	1.95
Springbok_A	Day 7	Enterococcaceae	0.000747695	0.1
Springbok_A	Day 7	Lachnospiraceae	0.015743125	2.12
Springbok_A	Day 7	Micrococcaceae	0.0424109	5.71
Springbok_A	Day 7	Mogibacteriaceae	0.00294924	0.4
Springbok_A	Day 7	Planococcaceae	0.607917255	81.8
Springbok_A	Day 7	Prevotellaceae	4.15E-05	0.01
Springbok_A	Day 7	Rikenellaceae	0.000166154	0.02
Springbok_A	Day 7	Ruminococcaceae	0.029409321	3.96
Springbok_A	Day 7	S24-7	0.000332309	0.04
Springbok_A	Day 7	Veillonellaceae	0.000540002	0.07
Springbok_A	Day 7	Verrucomicrobiaceae	0.000373847	0.05
Springbok_B	Day 1	Bacillaceae	0.000751597	0.11
Springbok_B	Day 1	Bacteroidaceae	0.071702368	10.21
Springbok_B	Day 1	Clostridiaceae	0.009921082	1.41
Springbok_B	Day 1	Coriobacteriaceae	0.000977076	0.14
Springbok_B	Day 1	Enterobacteriaceae	0	0
Springbok_B	Day 1	Enterococcaceae	0.000225479	0.03
Springbok_B	Day 1	Lachnospiraceae	0.117624953	16.76
Springbok_B	Day 1	Micrococcaceae	0.133784292	19.06
Springbok_B	Day 1	Mogibacteriaceae	0.003156708	0.45
Springbok_B	Day 1	Planococcaceae	0.002104472	0.3
Springbok_B	Day 1	Prevotellaceae	0.004960541	0.71
Springbok_B	Day 1	Rikenellaceae	0.013979707	1.99
Springbok_B	Day 1	Ruminococcaceae	0.302893649	43.15
Springbok_B	Day 1	S24-7	0.026155581	3.73
Springbok_B	Day 1	Veillonellaceae	0.010822999	1.54
Springbok_B	Day 1	Verrucomicrobiaceae	0.002931229	0.42
Springbok_B	Day 2	Bacillaceae	3.57E-05	0.01
Springbok_B	Day 2	Bacteroidaceae	0.151864819	21.36
Springbok_B	Day 2	Clostridiaceae	0.008145184	1.15
Springbok_B	Day 2	Coriobacteriaceae	0.00103601	0.15
Springbok_B	Day 2	Enterobacteriaceae	0.000893112	0.13
Springbok_B	Day 2	Enterococcaceae	3.57E-05	0.01
Springbok_B	Day 2	Lachnospiraceae	0.119784224	16.85
Springbok_B	Day 2	Micrococcaceae	0.000357245	0.05
Springbok_B	Day 2	Mogibacteriaceae	0.005072878	0.71
Springbok_B	Day 2	Planococcaceae	0.002286368	0.32
Springbok_B	Day 2	Prevotellaceae	0.012289226	1.73
Springbok_B	Day 2	Rikenellaceae	0.026650472	3.75
Springbok_B	Day 2	Ruminococcaceae	0.314018291	44.17
Springbok_B	Day 2	S24-7	0.03593884	5.05
Springbok_B	Day 2	Veillonellaceae	0.021256073	2.99
